conId,title,assigneeId,assigneeName
CloudTrail.3,At least one CloudTrail trail should be enabled,,
CloudTrail.4,CloudTrail log file validation should be enabled,,
CloudTrail.5,CloudTrail trails should be integrated with Amazon CloudWatch Logs,,
CloudTrail.6,Ensure the S3 bucket used to store CloudTrail logs is not publicly accessible,,
CloudTrail.7,Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,,
CloudTrail.9,CloudTrail trails should be tagged,,
CloudWatch.1,"A log metric filter and alarm should exist for usage of the root"" user""",,
CloudWatch.2,Ensure a log metric filter and alarm exist for unauthorized API calls,,
CloudWatch.3,Ensure a log metric filter and alarm exist for Management Console sign-in without MFA,,
CloudWatch.4,Ensure a log metric filter and alarm exist for IAM policy changes,,
CloudWatch.5,Ensure a log metric filter and alarm exist for CloudTrail configuration changes,,
CloudWatch.6,Ensure a log metric filter and alarm exist for AWS Management Console authentication failures,,
CloudWatch.7,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs,,
CloudWatch.8,Ensure a log metric filter and alarm exist for S3 bucket policy changes,,
CloudWatch.9,Ensure a log metric filter and alarm exist for AWS Config configuration changes,,
CloudWatch.10,Ensure a log metric filter and alarm exist for security group changes,,
CloudWatch.11,Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL),,
CloudWatch.12,Ensure a log metric filter and alarm exist for changes to network gateways,,
CloudWatch.13,Ensure a log metric filter and alarm exist for route table changes,,
CloudWatch.14,Ensure a log metric filter and alarm exist for VPC changes,,
CloudWatch.15,CloudWatch alarms should have specified actions configured,,
CloudWatch.16,CloudWatch log groups should be retained for a specified time period,,
CloudWatch.17,CloudWatch alarm actions should be enabled,,
CodeArtifact.1,CodeArtifact repositories should be tagged,,
CodeBuild.1,CodeBuild Bitbucket source repository URLs should not contain sensitive credentials,,
CodeBuild.2,CodeBuild project environment variables should not contain clear text credentials,,
CodeBuild.3,CodeBuild S3 logs should be encrypted,,
CodeBuild.4,CodeBuild project environments should have a logging configuration,,
CodeBuild.7,CodeBuild report group exports should be encrypted at rest,,
Config.1,AWS Config should be enabled and use the service-linked role for resource recording,,
DataFirehose.1,Firehose delivery streams should be encrypted at rest,,
DataSync.1,DataSync tasks should have logging enabled,,
Detective.1,Detective behavior graphs should be tagged,,
DMS.1,Database Migration Service replication instances should not be public,,
DMS.2,DMS certificates should be tagged,,
DMS.3,DMS event subscriptions should be tagged,,
DMS.4,DMS replication instances should be tagged,,
DMS.5,DMS replication subnet groups should be tagged,,
DMS.6,DMS replication instances should have automatic minor version upgrade enabled,,
DMS.7,DMS replication tasks for the target database should have logging enabled,,
DMS.8,DMS replication tasks for the source database should have logging enabled,,
DMS.9,DMS endpoints should use SSL,,
DMS.10,DMS endpoints for Neptune databases should have IAM authorization enabled,,
DMS.11,DMS endpoints for MongoDB should have an authentication mechanism enabled,,
DMS.12,DMS endpoints for Redis OSS should have TLS enabled,,
DocumentDB.1,Amazon DocumentDB clusters should be encrypted at rest,,
DocumentDB.2,Amazon DocumentDB clusters should have an adequate backup retention period,,
DocumentDB.3,Amazon DocumentDB manual cluster snapshots should not be public,,
DocumentDB.4,Amazon DocumentDB clusters should publish audit logs to CloudWatch Logs,,
DocumentDB.5,Amazon DocumentDB clusters should have deletion protection enabled,,
DynamoDB.1,DynamoDB tables should automatically scale capacity with demand,,
DynamoDB.2,DynamoDB tables should have point-in-time recovery enabled,,
DynamoDB.3,DynamoDB Accelerator (DAX) clusters should be encrypted at rest,,
DynamoDB.4,DynamoDB tables should be present in a backup plan,,
DynamoDB.5,DynamoDB tables should be tagged,,
DynamoDB.6,DynamoDB tables should have deletion protection enabled,,
DynamoDB.7,DynamoDB Accelerator clusters should be encrypted in transit,,
EC2.1,EBS snapshots should not be publicly restorable,,
EC2.2,VPC default security groups should not allow inbound or outbound traffic,,
EC2.3,Attached EBS volumes should be encrypted at-rest,,
EC2.4,Stopped EC2 instances should be removed after a specified time period,,
EC2.6,VPC flow logging should be enabled in all VPCs,,
EC2.7,EBS default encryption should be enabled,,
EC2.8,EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,
EC2.9,EC2 instances should not have a public IPv4 address,,
EC2.10,Amazon EC2 should be configured to use VPC endpoints that are created for the Amazon EC2 service,,
EC2.12,Unused EC2 EIPs should be removed,,
EC2.13,Security groups should not allow ingress from 0.0.0.0/0 or ::/0 to port 22,,
EC2.14,Security groups should not allow ingress from 0.0.0.0/0 or ::/0 to port 3389,,
EC2.15,EC2 subnets should not automatically assign public IP addresses,,
EC2.16,Unused Network Access Control Lists should be removed,,
EC2.17,EC2 instances should not use multiple ENIs,,
EC2.18,Security groups should only allow unrestricted incoming traffic for authorized ports,,
EC2.19,Security groups should not allow unrestricted access to ports with high risk,,
EC2.20,Both VPN tunnels for an AWS Site-to-Site VPN connection should be up,,
EC2.21,Network ACLs should not allow ingress from 0.0.0.0/0 to port 22 or port 3389,,
EC2.22,Unused EC2 security groups should be removed,,
EC2.23,EC2 Transit Gateways should not automatically accept VPC attachment requests,,
EC2.24,EC2 paravirtual instance types should not be used,,
EC2.25,EC2 launch templates should not assign public IPs to network interfaces,,
EC2.28,EBS volumes should be in a backup plan,,
EC2.33,EC2 transit gateway attachments should be tagged,,
EC2.34,EC2 transit gateway route tables should be tagged,,
EC2.35,EC2 network interfaces should be tagged,,
EC2.36,EC2 customer gateways should be tagged,,
EC2.37,EC2 Elastic IP addresses should be tagged,,
EC2.38,EC2 instances should be tagged,,
EC2.39,EC2 internet gateways should be tagged,,
EC2.40,EC2 NAT gateways should be tagged,,
EC2.41,EC2 network ACLs should be tagged,,
EC2.42,EC2 route tables should be tagged,,
EC2.43,EC2 security groups should be tagged,,
EC2.44,EC2 subnets should be tagged,,
EC2.45,EC2 volumes should be tagged,,
EC2.46,Amazon VPCs should be tagged,,
EC2.47,Amazon VPC endpoint services should be tagged,,
EC2.48,Amazon VPC flow logs should be tagged,,
EC2.49,Amazon VPC peering connections should be tagged,,
EC2.50,EC2 VPN gateways should be tagged,,
EC2.51,EC2 Client VPN endpoints should have client connection logging enabled,,
EC2.52,EC2 transit gateways should be tagged,,
EC2.53,EC2 security groups should not allow ingress from 0.0.0.0/0 to remote server administration ports,,
EC2.54,EC2 security groups should not allow ingress from ::/0 to remote server administration ports,,
EC2.170,EC2 launch templates should use Instance Metadata Service Version 2 (IMDSv2),,
EC2.171,EC2 VPN connections should have logging enabled,,
ECR.1,ECR private repositories should have image scanning configured,,
ECR.2,ECR private repositories should have tag immutability configured,,
ECR.3,ECR repositories should have at least one lifecycle policy configured,,
ECR.4,ECR public repositories should be tagged,,
ECS.1,Amazon ECS task definitions should have secure networking modes and user definitions.,,
ECS.2,ECS services should not have public IP addresses assigned to them automatically,,
ECS.3,ECS task definitions should not share the host's process namespace,,
ECS.4,ECS containers should run as non-privileged,,
ECS.5,ECS containers should be limited to read-only access to root filesystems,,
ECS.8,Secrets should not be passed as container environment variables,,
ECS.9,ECS task definitions should have a logging configuration,,
ECS.10,ECS Fargate services should run on the latest Fargate platform version,,
ECS.12,ECS clusters should use Container Insights,,
ECS.13,ECS services should be tagged,,
ECS.14,ECS clusters should be tagged,,
ECS.15,ECS task definitions should be tagged,,
ECS.16,ECS task sets should not automatically assign public IP addresses,,
EFS.1,Elastic File System should be configured to encrypt file data at-rest using AWS KMS,,
EFS.2,Amazon EFS volumes should be in backup plans,,
EFS.3,EFS access points should enforce a root directory,,
EFS.4,EFS access points should enforce a user identity,,
EFS.5,EFS access points should be tagged,,
EFS.6,EFS mount targets should not be associated with a public subnet,,
EFS.7,EFS file systems should have automatic backups enabled,,
EFS.8,EFS file systems should be encrypted at rest,,
EKS.1,EKS cluster endpoints should not be publicly accessible,,
EKS.2,EKS clusters should run on a supported Kubernetes version,,
EKS.3,EKS clusters should use encrypted Kubernetes secrets,,
EKS.6,EKS clusters should be tagged,,
EKS.7,EKS identity provider configurations should be tagged,,
EKS.8,EKS clusters should have audit logging enabled,,
ElastiCache.1,ElastiCache (Redis OSS) clusters should have automatic backups enabled,,
ElastiCache.2,ElastiCache (Redis OSS) clusters should have automatic minor version upgrades enabled,,
ElastiCache.3,ElastiCache replication groups should have automatic failover enabled,,
ElastiCache.4,ElastiCache replication groups should be encrypted at rest,,
ElastiCache.5,ElastiCache replication groups should be encrypted in transit,,
ElastiCache.6,ElastiCache (Redis OSS) replication groups of earlier versions should have Redis OSS AUTH enabled,,
ElastiCache.7,ElastiCache clusters should not use the default subnet group,,
ElasticBeanstalk.1,Elastic Beanstalk environments should have enhanced health reporting enabled,,
ElasticBeanstalk.2,Elastic Beanstalk managed platform updates should be enabled,,
ElasticBeanstalk.3,Elastic Beanstalk should stream logs to CloudWatch,,
ELB.1,Application Load Balancer should be configured to redirect all HTTP requests to HTTPS,,
ELB.2,Classic Load Balancers with SSL/HTTPS listeners should use a certificate provided by AWS Certificate Manager,,
ELB.3,Classic Load Balancer listeners should be configured with HTTPS or TLS termination,,
ELB.4,Application load balancer should be configured to drop invalid http headers,,
ELB.5,Application and Classic Load Balancers logging should be enabled,,
ELB.6,"Application, Gateway, and Network Load Balancers should have deletion protection enabled",,
ELB.7,Classic Load Balancers should have connection draining enabled,,
ELB.8,Classic Load Balancers with SSL listeners should use a predefined security policy that has strong configuration,,
ELB.9,Classic Load Balancers should have cross-zone load balancing enabled,,
ELB.10,Classic Load Balancer should span multiple Availability Zones,,
ELB.12,Application Load Balancer should be configured with defensive or strictest desync mitigation mode,,
ELB.13,"Application, Network and Gateway Load Balancers should span multiple Availability Zones",,
ELB.14,Classic Load Balancer should be configured with defensive or strictest desync mitigation mode,,
ELB.16,Application Load Balancers should be associated with an AWS WAF web ACL,,
EMR.1,Amazon EMR cluster primary nodes should not have public IP addresses,,
EMR.2,Amazon EMR block public access setting should be enabled,,
ES.1,Elasticsearch domains should have encryption at-rest enabled,,
ES.2,Elasticsearch domains should not be publicly accessible,,
ES.3,Elasticsearch domains should encrypt data sent between nodes,,
ES.4,Elasticsearch domain error logging to CloudWatch Logs should be enabled,,
ES.5,Elasticsearch domains should have audit logging enabled,,
ES.6,Elasticsearch domains should have at least three data nodes,,
ES.7,Elasticsearch domains should be configured with at least three dedicated master nodes,,
ES.8,Connections to Elasticsearch domains should be encrypted using the latest TLS security policy,,
ES.9,Elasticsearch domains should be tagged,,
EventBridge.2,EventBridge event buses should be tagged,,
EventBridge.3,EventBridge custom event buses should have a resource-based policy attached,,
EventBridge.4,EventBridge global endpoints should have event replication enabled,,
FSx.1,FSx for OpenZFS file systems should be configured to copy tags to backups and volumes,,
FSx.2,FSx for Lustre file systems should be configured to copy tags to backups,,
GlobalAccelerator.1,Global Accelerator accelerators should be tagged,,
Glue.1,AWS Glue jobs should be tagged,,
Glue.2,AWS Glue jobs should have logging enabled,,
Glue.3,AWS Glue machine learning transforms should be encrypted at rest,,
GuardDuty.1,GuardDuty should be enabled,,
GuardDuty.2,GuardDuty filters should be tagged,,
GuardDuty.3,GuardDuty IPSets should be tagged,,
GuardDuty.4,GuardDuty detectors should be tagged,,
GuardDuty.5,GuardDuty EKS Audit Log Monitoring should be enabled,,
GuardDuty.6,GuardDuty Lambda Protection should be enabled,,
GuardDuty.7,GuardDuty EKS Runtime Monitoring should be enabled,,
GuardDuty.8,GuardDuty Malware Protection for EC2 should be enabled,,
GuardDuty.9,GuardDuty RDS Protection should be enabled,,
GuardDuty.10,GuardDuty S3 Protection should be enabled,,
IAM.1,"IAM policies should not allow full *"" administrative privileges""",,
IAM.2,IAM users should not have IAM policies attached,,
IAM.3,IAM users' access keys should be rotated every 90 days or less,,
IAM.4,IAM root user access key should not exist,,
IAM.5,MFA should be enabled for all IAM users that have a console password,,
IAM.6,Hardware MFA should be enabled for the root user,,
IAM.7,Password policies for IAM users should have strong configurations,,
IAM.8,Unused IAM user credentials should be removed,,
IAM.9,MFA should be enabled for the root user,,
IAM.10,Password policies for IAM users should have strong configurations,,
IAM.11,Ensure IAM password policy requires at least one uppercase letter,,
IAM.12,Ensure IAM password policy requires at least one lowercase letter,,
IAM.13,Ensure IAM password policy requires at least one symbol,,
IAM.14,Ensure IAM password policy requires at least one number,,
IAM.15,Ensure IAM password policy requires minimum password length of 14 or greater,,
IAM.16,Ensure IAM password policy prevents password reuse,,
IAM.17,Ensure IAM password policy expires passwords within 90 days or less,,
IAM.18,Ensure a support role has been created to manage incidents with AWS Support,,
IAM.19,MFA should be enabled for all IAM users,,
IAM.21,IAM customer managed policies that you create should not allow wildcard actions for services,,
IAM.22,IAM user credentials unused for 45 days should be removed,,
IAM.23,IAM Access Analyzer analyzers should be tagged,,
IAM.24,IAM roles should be tagged,,
IAM.25,IAM users should be tagged,,
IAM.26,Expired SSL/TLS certificates managed in IAM should be removed,,
IAM.27,IAM identities should not have the AWSCloudShellFullAccess policy attached,,
IAM.28,IAM Access Analyzer external access analyzer should be enabled,,
Inspector.1,Amazon Inspector EC2 scanning should be enabled,,
Inspector.2,Amazon Inspector ECR scanning should be enabled,,
Inspector.3,Amazon Inspector Lambda code scanning should be enabled,,
Inspector.4,Amazon Inspector Lambda standard scanning should be enabled,,
IoT.1,AWS IoT Device Defender security profiles should be tagged,,
IoT.2,AWS IoT Core mitigation actions should be tagged,,
IoT.3,AWS IoT Core dimensions should be tagged,,
IoT.4,AWS IoT Core authorizers should be tagged,,
IoT.5,AWS IoT Core role aliases should be tagged,,
IoT.6,AWS IoT Core policies should be tagged,,
Kinesis.1,Kinesis streams should be encrypted at rest,,
Kinesis.2,Kinesis streams should be tagged,,
Kinesis.3,Kinesis streams should have an adequate data retention period,,
KMS.1,IAM customer managed policies should not allow decryption actions on all KMS keys,,
KMS.2,IAM principals should not have IAM inline policies that allow decryption actions on all KMS keys,,
KMS.3,AWS KMS keys should not be deleted unintentionally,,
KMS.4,AWS KMS key rotation should be enabled,,
KMS.5,KMS keys should not be publicly accessible,,
Lambda.1,Lambda function policies should prohibit public access,,
Lambda.2,Lambda functions should use supported runtimes,,
Lambda.3,Lambda functions should be in a VPC,,
Lambda.5,VPC Lambda functions should operate in multiple Availability Zones,,
Lambda.6,Lambda functions should be tagged,,
Macie.1,Macie should be enabled,,
Macie.2,Macie automated sensitive data discovery should be enabled,,
MQ.2,ActiveMQ brokers should stream audit logs to CloudWatch,,
MQ.3,Amazon MQ brokers should have automatic minor version upgrade enabled,,
MQ.4,Amazon MQ brokers should be tagged,,
MQ.5,ActiveMQ brokers should use active/standby deployment mode,,
MQ.6,RabbitMQ brokers should use cluster deployment mode,,
MSK.1,MSK clusters should be encrypted in transit among broker nodes,,
MSK.2,MSK clusters should have enhanced monitoring configured,,
MSK.3,MSK Connect connectors should be encrypted in transit,,
Neptune.1,Neptune DB clusters should be encrypted at rest,,
Neptune.2,Neptune DB clusters should publish audit logs to CloudWatch Logs,,
Neptune.3,Neptune DB cluster snapshots should not be public,,
Neptune.4,Neptune DB clusters should have deletion protection enabled,,
Neptune.5,Neptune DB clusters should have automated backups enabled,,
Neptune.6,Neptune DB cluster snapshots should be encrypted at rest,,
Neptune.7,Neptune DB clusters should have IAM database authentication enabled,,
Neptune.8,Neptune DB clusters should be configured to copy tags to snapshots,,
Neptune.9,Neptune DB clusters should be deployed across multiple Availability Zones,,
NetworkFirewall.1,Network Firewall firewalls should be deployed across multiple Availability Zones,,
NetworkFirewall.2,Network Firewall logging should be enabled,,
NetworkFirewall.3,Network Firewall policies should have at least one rule group associated,,
NetworkFirewall.4,The default stateless action for Network Firewall policies should be drop or forward for full packets,,
NetworkFirewall.5,The default stateless action for Network Firewall policies should be drop or forward for fragmented packets,,
NetworkFirewall.6,Stateless network firewall rule group should not be empty,,
NetworkFirewall.7,Network Firewall firewalls should be tagged,,
NetworkFirewall.8,Network Firewall firewall policies should be tagged,,
NetworkFirewall.9,Network Firewall firewalls should have deletion protection enabled,,
Opensearch.1,OpenSearch domains should have encryption at rest enabled,,
Opensearch.2,OpenSearch domains should not be publicly accessible,,
Opensearch.3,OpenSearch domains should encrypt data sent between nodes,,
Opensearch.4,OpenSearch domain error logging to CloudWatch Logs should be enabled,,
Opensearch.5,OpenSearch domains should have audit logging enabled,,
Opensearch.6,OpenSearch domains should have at least three data nodes,,
Opensearch.7,OpenSearch domains should have fine-grained access control enabled,,
Opensearch.8,Connections to OpenSearch domains should be encrypted using the latest TLS security policy,,
Opensearch.9,OpenSearch domains should be tagged,,
Opensearch.10,OpenSearch domains should have the latest software update installed,,
Opensearch.11,OpenSearch domains should have at least three dedicated primary nodes,,
PCA.1,AWS Private CA root certificate authority should be disabled,,
RDS.1,RDS snapshot should be private,,
RDS.2,"RDS DB Instances should prohibit public access, as determined by the PubliclyAccessible configuration",,
RDS.3,RDS DB instances should have encryption at-rest enabled,,
RDS.4,RDS cluster snapshots and database snapshots should be encrypted at rest,,
RDS.5,RDS DB instances should be configured with multiple Availability Zones,,
RDS.6,Enhanced monitoring should be configured for RDS DB instances,,
RDS.7,RDS clusters should have deletion protection enabled,,
RDS.8,RDS DB instances should have deletion protection enabled,,
RDS.9,RDS DB instances should publish logs to CloudWatch Logs,,
RDS.10,IAM authentication should be configured for RDS instances,,
RDS.11,RDS instances should have automatic backups enabled,,
RDS.12,IAM authentication should be configured for RDS clusters,,
RDS.13,RDS automatic minor version upgrades should be enabled,,
RDS.14,Amazon Aurora clusters should have backtracking enabled,,
RDS.15,RDS DB clusters should be configured for multiple Availability Zones,,
RDS.16,RDS DB clusters should be configured to copy tags to snapshots,,
RDS.17,RDS DB instances should be configured to copy tags to snapshots,,
RDS.18,RDS instances should be deployed in a VPC,,
RDS.19,Existing RDS event notification subscriptions should be configured for critical cluster events,,
RDS.20,Existing RDS event notification subscriptions should be configured for critical database instance events,,
RDS.21,An RDS event notifications subscription should be configured for critical database parameter group events,,
RDS.22,An RDS event notifications subscription should be configured for critical database security group events,,
RDS.23,RDS instances should not use a database engine default port,,
RDS.24,RDS Database Clusters should use a custom administrator username,,
RDS.25,RDS database instances should use a custom administrator username,,
RDS.26,RDS DB instances should be protected by a backup plan,,
RDS.27,RDS DB clusters should be encrypted at rest,,
RDS.28,RDS DB clusters should be tagged,,
RDS.29,RDS DB cluster snapshots should be tagged,,
RDS.30,RDS DB instances should be tagged,,
RDS.31,RDS DB security groups should be tagged,,
RDS.32,RDS DB snapshots should be tagged,,
RDS.33,RDS DB subnet groups should be tagged,,
RDS.34,Aurora MySQL DB clusters should publish audit logs to CloudWatch Logs,,
RDS.35,RDS DB clusters should have automatic minor version upgrade enabled,,
RDS.36,RDS for PostgreSQL DB instances should publish logs to CloudWatch Logs,,
RDS.37,Aurora PostgreSQL DB clusters should publish logs to CloudWatch Logs,,
Redshift.1,Amazon Redshift clusters should prohibit public access,,
Redshift.2,Connections to Amazon Redshift clusters should be encrypted in transit,,
Redshift.3,Amazon Redshift clusters should have automatic snapshots enabled,,
Redshift.4,Amazon Redshift clusters should have audit logging enabled,,
Redshift.6,Amazon Redshift should have automatic upgrades to major versions enabled,,
Redshift.7,Redshift clusters should use enhanced VPC routing,,
Redshift.8,Amazon Redshift clusters should not use the default Admin username,,
Redshift.9,Redshift clusters should not use the default database name,,
Redshift.10,Redshift clusters should be encrypted at rest,,
Redshift.11,Redshift clusters should be tagged,,
Redshift.12,Redshift event notification subscriptions should be tagged,,
Redshift.13,Redshift cluster snapshots should be tagged,,
Redshift.14,Redshift cluster subnet groups should be tagged,,
Redshift.15,Redshift security groups should allow ingress on the cluster port only from restricted origins,,
Route53.1,Route 53 health checks should be tagged,,
Route53.2,Route 53 public hosted zones should log DNS queries,,
S3.1,S3 general purpose buckets should have block public access settings enabled,,
S3.2,S3 general purpose buckets should block public read access,,
S3.3,S3 general purpose buckets should block public write access,,
S3.5,S3 general purpose buckets should require requests to use SSL,,
S3.6,S3 general purpose bucket policies should restrict access to other AWS accounts,,
S3.7,S3 general purpose buckets should use cross-Region replication,,
S3.8,S3 general purpose buckets should block public access,,
S3.9,S3 general purpose buckets should have server access logging enabled,,
S3.10,S3 general purpose buckets with versioning enabled should have Lifecycle configurations,,
S3.11,S3 general purpose buckets should have event notifications enabled,,
S3.12,ACLs should not be used to manage user access to S3 general purpose buckets,,
S3.13,S3 general purpose buckets should have Lifecycle configurations,,
S3.14,S3 general purpose buckets should have versioning enabled,,
S3.15,S3 general purpose buckets should have Object Lock enabled,,
S3.17,S3 general purpose buckets should be encrypted at rest with AWS KMS keys,,
S3.19,S3 access points should have block public access settings enabled,,
S3.20,S3 general purpose buckets should have MFA delete enabled,,
S3.22,S3 general purpose buckets should log object-level write events,,
S3.23,S3 general purpose buckets should log object-level read events,,
S3.24,S3 Multi-Region Access Points should have block public access settings enabled,,
SageMaker.1,Amazon SageMaker notebook instances should not have direct internet access,,
SageMaker.2,SageMaker notebook instances should be launched in a custom VPC,,
SageMaker.3,Users should not have root access to SageMaker notebook instances,,
SageMaker.4,SageMaker endpoint production variants should have an initial instance count greater than 1,,
SecretsManager.1,Secrets Manager secrets should have automatic rotation enabled,,
SecretsManager.2,Secrets Manager secrets configured with automatic rotation should rotate successfully,,
SecretsManager.3,Remove unused Secrets Manager secrets,,
SecretsManager.4,Secrets Manager secrets should be rotated within a specified number of days,,
SecretsManager.5,Secrets Manager secrets should be tagged,,
ServiceCatalog.1,Service Catalog portfolios should be shared within an AWS organization only,,
SES.1,SES contact lists should be tagged,,
SES.2,SES configuration sets should be tagged,,
SNS.1,SNS topics should be encrypted at-rest using AWS KMS,,
SNS.3,SNS topics should be tagged,,
SNS.4,SNS topic access policies should not allow public access,,
SQS.1,Amazon SQS queues should be encrypted at rest,,
SQS.2,SQS queues should be tagged,,
SSM.1,EC2 instances should be managed by AWS Systems Manager,,
SSM.2,EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,
SSM.3,EC2 instances managed by Systems Manager should have an association compliance status of COMPLIANT,,
SSM.4,SSM documents should not be public,,
StepFunctions.1,Step Functions state machines should have logging turned on,,
StepFunctions.2,Step Functions activities should be tagged,,
Transfer.1,Transfer Family workflows should be tagged,,
Transfer.2,Transfer Family servers should not use FTP protocol for endpoint connection,,
WAF.1,AWS WAF Classic Global Web ACL logging should be enabled,,
WAF.2,AWS WAF Classic Regional rules should have at least one condition,,
WAF.3,AWS WAF Classic Regional rule groups should have at least one rule,,
WAF.4,AWS WAF Classic Regional web ACLs should have at least one rule or rule group,,
WAF.6,AWS WAF Classic global rules should have at least one condition,,
WAF.7,AWS WAF Classic global rule groups should have at least one rule,,
WAF.8,AWS WAF Classic global web ACLs should have at least one rule or rule group,,
WAF.10,AWS WAF web ACLs should have at least one rule or rule group,,
WAF.11,AWS WAF web ACL logging should be enabled,,
WAF.12,AWS WAF rules should have CloudWatch metrics enabled,,
WorkSpaces.1,WorkSpaces user volumes should be encrypted at rest,,
WorkSpaces.2,WorkSpaces root volumes should be encrypted at rest,,
